Préfixe,Signification
hyper-,excès; excessif; au-dessus de
épi-,sur; au-dessus de
sup-r-a-,au-dessus de
hypo-,insuffisance; insuffisant; en dessous de
sub-,en dessous de
inf-r-a-,en dessous de
péri-,autour de
circ-(o)n- / circ-um-,autour de
para-,à côté de
ex-tr-a-,à l’extérieur de
ex-,à l’extérieur de
ex-o-,à l’extérieur de
ect-o-,à l’extérieur de
end-o-,à l’intérieur de; dans
en-,à l’intérieur de; dans
in-tr-a-,à l’intérieur de; dans
ent-o-,à l’intérieur de; dans
pr-é-,(au) devant (de); avant
pr-o-,(au) devant (de); avant; pour
ré-tr-o-,en arrière de
post-,après; en arrière de
trans-,à travers; transfert
inter-,entre; parmi
syn-,ensemble; avec; en même temps
ant-i-,contre
ab-,loin de; en dehors; depuis
ad-,vers; en direction de; pour
co(m)-,ensemble; avec
dé-,loin de; séparé de
dis-,loin de; séparé de
ex-,à l’extérieur de; en dehors de
in-,à l’intérieur de; dans; non
ob-,devant; contre
per-,à travers; complètement
pr-è-,avant; (au) devant (de)
pr-o-,avant; (au) devant (de); pour
re-/ré-,de nouveau; en arrière; antérieur
sé-,à part; sans
sub-,en dessous de; sous
trans-,à travers; transfert; au-delà de
ana-,en haut; de nouveau; contre
ant-é-,avant; (au) devant (de)
apo-,hors de; loin de; à partir de
cata-,en bas; dégradation
con-tr-a-,contre
dia-,à travers
sup-er-,au-dessus de; excès; au-dessus de
ul-tr-a-,au-delà de
